Accident ID,lat,long,Accident count,No of pedestrian casualties,Accident severity,Day of week,Date in month,Month,Year,Time,Weather,Pedestrian injury,Pedestrian location,Pedestrian action,contributory factors 1,contributory factors 2,contributory factors 3,Time(12h),Day(Text),Relative Vehicle Speed ,Accident description,Location description
190001001602842,23.7247876,90.4122379,1,01,G,2,08,01,19,0845,1,G,4,2,01,02,00,8:45 AM,Tuesday,3,V1 TRAV E-W (MOTIJEEL) OVERRUN PEDESTRIAN CROSSNG ROAD.                         ,"GULISTHAN PATAL SOROK, GULISTHAN ROAD.                                          "
190001000602142,23.6905025,90.430771,2,01,F,6,05,01,19,2130,1,F,4,2,01,02,00,9:30 PM,Saturday,3,V1 TRAV E-W (POSTOGOLA BRIDGE) OVERRUN PEDESTRIAN CROSSING ROAD.                ,"POSTOGOLA BRIDGE, DHAKA-MOUA ROAD.                                              "
190001000100642,23.7392024,90.4806533,3,01,F,7,13,01,19,1445,2,F,4,2,01,02,00,2:45 PM,Sunday,4,V1 TRAV E-W (JATRABARI) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,UNKNOWN LOCATION.                                                               
190001000101242,23.7923315,90.4244884,4,01,F,3,23,01,19,2250,1,F,4,2,01,02,00,10:50 PM,Wednesday,3,V1 TRAV S-N (UTTARA) OVERRUN PEDESTRIAN CROSSING ROAD.                          ,PROGATI SARANI ROAD.                                                            
190002000201242,23.7942303,90.4241415,5,01,F,4,31,01,19,0500,1,F,4,2,01,02,00,5:00 AM,Thursday,4,V1 TRAV S-N (CANTONMENT) OVERRUN PEDESTRIAN CROSSING ROAD.                      ,POGOTI SARANI ROAD.                                                             
190001003705042,23.7491162,90.407235,6,01,G,1,21,01,19,1745,1,G,4,2,01,02,00,5:45 PM,Monday,2,V1 TRAV W-E (KHILGONG) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,"IN FRONT OF ARONG, MOGBAZAR ROAD.                                               "
190002001905042,23.7417678,90.4174115,7,02,F,2,01,01,19,1400,1,F,4,2,01,02,00,2:00 PM,Tuesday,4,V1 TRAV E-W (BANGLA MOTOR) OVERRUN PEDESTRIAN CROSSING ROAD.                    ,MUCHAC FLYOVER GET IN.                                                          
190002001905042,23.7417678,90.4174115,7,,,,,,,,,F,4,2,,,,#VALUE!,#VALUE!,,,
190002006002242,23.8500376,90.4087824,8,01,F,3,30,01,19,2215,1,F,4,2,01,02,00,10:15 PM,Wednesday,3,V1 TRAV S-N (TUNGI) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,"AIRPORT ROUND CIRCLE, DHAKA-MYMENSHING ROAD.                                    "
190003005402242,23.8510073,90.4079388,9,02,F,1,28,01,19,0045,1,F,4,2,01,02,00,12:45 AM,Monday,3,V1 TRAV S-N (KAMARPARA) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,DHAKA-MYMENSGING ROAD.                                                          
190003005402242,23.8510073,90.4079388,9,,,,,,,,,F,4,2,,,,#VALUE!,#VALUE!,,,
190001000704442,23.8716137,90.3939168,10,00,G,3,09,01,19,0315,1,,,,01,02,00,3:15 AM,Wednesday,5,"V1 HIT V2 REAREND, BOTH TRAV S-N (ASHULIA).                                     ",UNKNOWN LOCATION.                                                               
190001000704442,23.8716137,90.3939168,10,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190001001002342,23.8296879,90.4436876,11,00,F,3,09,01,19,1210,1,,,,01,02,00,12:10 PM,Wednesday,4,"V1 TRAV S-N (ASHULIA) HIT V2 REAREND, V2 TRAV WAS HOLTED ROAD SIDE PARKED.      ","IN FRONT OF SCOLASTIKA SCHOOL, 300 FIT ROAD.                                    "
190001001002342,23.8296879,90.4436876,11,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002002502342,23.7972022,90.3532215,12,00,F,5,18,01,19,2115,1,,,,01,02,00,9:15 PM,Friday,3,"V1 HIT V2 REAREND, BOTH TRAV N-S (MOHAKHALI).                                   ",UNKNOWN LOCATION.                                                               
190002002502342,23.7972022,90.3532215,12,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190003003802342,23.8317043,90.4540297,13,00,F,1,28,01,19,0215,1,,,,01,02,00,2:15 AM,Monday,4,V1 TRAV S-N (ASHULIA) HIT ROAD SIDE PILAR.                                      ,UNKNOWN LOCATION.                                                               
190003003802342,23.8317043,90.4540297,13,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190003003802342,23.8317043,90.4540297,13,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190001003103642,23.7676937,90.4229509,14,01,F,4,24,01,19,1715,1,F,4,2,01,02,00,5:15 PM,Thursday,3,V1 TRAV S-N (BADDA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,RAMPURA BRIDGE.                                                                 
190001000502942,23.7335667,90.4036406,15,00,F,5,04,01,19,   ?,1,,,, ?, ?, ?,#VALUE!,Friday,,"V1 HIT V2 REAREND, BOTH TRAV E-W (MOTIJEEL).                                    ",MOTSHA BABAN CROSSING.                                                          
190001000502942,23.7335667,90.4036406,15,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002000702942,23.7248176,90.4104808,16,01,F,6,05,01,19,1300,1,F,4,2,01,02,00,1:00 PM,Saturday,2,V1 TRAV E-W (MOTIJEEL) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,GOLAPSHAH MAZAR.                                                                
190001000101142,23.7972739,90.3531906,17,01,F,1,14,01,19,1210,1,F,4,2,01,02,00,12:10 PM,Monday,3,V1 TRAV S-N (PALLABI) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,"IN FRONT OF TANIN BABAN, MIRPUR-DARUSSALAM ROAD.                                "
190001003702542,23.8126094,90.3402282,18,02,F,6,26,01,19,2253,1,F,4,2,01,02,00,10:53 PM,Saturday,4,V1 TRAV S-N (PALLABI) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,UNKNOWN LOCATION.                                                               
190001003702542,23.8126094,90.3402282,18,,,,,,,,,G,4,2,,,,#VALUE!,#VALUE!,,,
190001005401842,23.7489265,90.4190336,19,01,G,7,27,01,19,1215,1,G,4,1,01,02,00,12:15 PM,Sunday,3,V1 TRAV E-W (BASABO) OVERRUN PEDESTRIAN CROSSING ROAD.                          ,UNKNOWN LOCATION.                                                               
190002005801842,23.7441408,90.4265527,20,01,G,2,29,01,19,2330,1,G,4,2,01,02,00,11:30 PM,Tuesday,3,V1 TRAV S-N (MUGDA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,KHILGONG RAILGATE.                                                              
190001003504942,23.7313591,90.4253527,21,01,F,6,26,01,19,1915,1,F,4,2,01,02,00,7:15 PM,Saturday,2,V1 TRAV W-E (MOTIJEEL) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,KOMLAPUR RAIL STATION.                                                          
190001002003442,23.7787717,90.3583042,22,00,F,1,21,01,19,0430,1,,,,01,02,00,4:30 AM,Monday,4,"V1 HIT V2 REAREND, BOTH TRAV S-N (PALLABI).                                     ","IN FRONT OF JONOPATH STAF QUATER, KOLLYONPUR-TECNICAL ROAD.                     "
190001002003442,23.7787717,90.3583042,22,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190001001204542,23.7982889,90.3881697,23,01,F,4,17,01,19,0755,1,F,4,2,01,02,00,7:55 AM,Thursday,4,V1 TRAV S-N (MIRPUR-10) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,KAKOLI BUS STAND.                                                               
190003002305042,23.7545809,90.4155406,24,00,F,3,13,02,19,0530,1,,,,01,02,00,5:30 AM,Wednesday,4,V1 TRAV S-N (GULSHAN) HIT V2 HEAD ON. V2 TRAV N-S (MALIBAG).                    ,ABUL HOTEL CROSSING.                                                            
190003002305042,23.7545809,90.4155406,24,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190003002305042,23.7545809,90.4155406,24,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190003002305042,23.7545809,90.4155406,24,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190001001702642,23.772578,90.3605224,25,01,F,4,14,02,19,0112,1,F,4,2,01,02,00,1:12 AM,Thursday,3,V1 TRAV E-W (GABTOLI) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,UNKNOWN LOCATION.                                                               
190002002203342,23.6971141,90.461921,26,01,F,7,03,02,19,1200,1,F,4,4,01,02,00,12:00 PM,Sunday,4,V1 TRAV W-E (SONIR AKHRA) OVERRUN PEDESTRIAN.                                   ,UNKNOWN LOCATION.                                                               
190001000101642,23.7769289,90.4257309,27,01,G,7,10,02,19,2140,2,G,4,2,01,02,00,9:40 PM,Sunday,3,V1 TRAV S-N (GULSHAN-1) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,"MADYA BADDA ULOP DOWN, PROGATI SARANI ROAD.                                     "
190001000102442,23.8582763,90.3585398,28,01,F,2,05,02,19,0750,1,F,4,2,01,02,00,7:50 AM,Tuesday,4,V1 TRAV S-N (TUNGI) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,UNKNOWN LOCATION.                                                               
190004000402242,23.8371098,90.4183223,29,01,F,5,01,02,19,2200,1,F,4,2,01,02,00,10:00 PM,Friday,4,V1 TRAV S-N (KAMARPARA) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,"IN FRONT OF BONORUPA,DHAKA-MYMENSHING ROAD.                                     "
190001001101742,23.7645865,90.3873329,30,01,S,2,05,02,19,1640,1,S,4,2,01,02,00,4:40 PM,Tuesday,3,V1 TRAV S-N (MIRPUR) OVERRUN PEDESTRIAN CROSSING ROAD.                          ,UNKNOWN LOCATION.                                                               
190004002502342,23.8331075,90.4191768,31,01,G,4,07,02,19,1130,1,G,4,2,01,02,00,11:30 AM,Thursday,3,V1 TRAV S-N (ASHULIA) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,"LOTOUS KAMAL TOWER, DHAKA-MYMENSHING ROAD.                                      "
190005002302342,23.8196759,90.4202275,32,01,F,1,11,02,19,1410,1,F,4,2,01,02,00,2:10 PM,Monday,4,V1 TRAV S-N (TUNGI) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,"JOUR SAHARA BUSS STAND, DHAKA-MYMENSHING ROAD.                                  "
190002   ?01142,#N/A,#N/A,33,00,F,3,13,02,19,2230,1,,,,01,02,00,10:30 PM,Wednesday,,"V1 HIT V2 REAREND, BOTH TRAV S-N (PALLABI).                                     ","TANIN BABAN, MIRPUR-1.                                                          "
190002   ?01142,#N/A,#N/A,33,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002001502142,23.6904955,90.4308207,34,00,F,2,12,02,19,1840,1,,,,01,02,00,6:40 PM,Tuesday,3,V1 TRAV E-W (DEMRA) HIT V2 HEAD ON. V2 TRAV W-E (POSTAGOLA).                    ,"POSTAGOLA BRIDGE POLICE CHAK POST,DHAKA-MAUWA ROAD.                             "
190002001502142,23.6904955,90.4308207,34,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002001502142,23.6904955,90.4308207,34,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002002604442,23.8729669,90.4003853,35,01,G,4,21,02,19,1125,1,G,4,2,01,02,00,11:25 AM,Thursday,3,V1 TRAV S-N (KAMARPARA) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,"IN FRONT OF BGB MARKET, DHAKA-MYMENSHING ROAD.                                  "
190003003004442,23.8707698,90.4004114,36,00,F,3,27,02,19,1840,1,,,,01,02,00,6:40 PM,Wednesday,3,"V1 TRAV S-N (KAMARPARA) HIT V2 REAREND, V2 TRAV WAS HOLTED ROAD SIDE PARKED.    ",UNKNOWN LOCATION.                                                               
190003003004442,23.8707698,90.4004114,36,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190004002704442,23.87416015,90.40040312,37,01,F,6,23,02,19,1315,1,F,4,2,01,02,00,1:15 PM,Saturday,3,V1 TRAV S-N (ABDULLAPUR) OVERRUN PEDESTRIAN CROSSING ROAD.                      ,"IN FRONT OF CENCER HOSPITAL, DHAKA-MYMENSHING ROAD.                             "
190001002203742,23.7732409,90.3819529,38,01,G,5,22,02,19,0515,1,G,6,4,01,02,00,5:15 AM,Friday,4,V1 TRAV N-S (FARMGATE) VILATED TRAFFIC SINGNAL  AND HIT TRAFFIC POLICE ON DUTY. ,"AGRICULTER UNIVERCITY, BEGOM ROKEYA SORONI ROAD.                                "
190001000604342,23.8046855,90.4220475,39,00,F,2,05,02,19,0330,1,,,,01,02,00,3:30 AM,Tuesday,4,V1 TRAV S-N (GULSHAN) HIT ROAD SIDE OF PILAR.                                   ,"IN FRONT OF JAPAN BD LIMETED., PROGATI SARANI ROAD.                             "
190001001404242,23.7915598,90.4005264,40,01,F,6,09,02,19,0055,1,F,4,2,01,02,00,12:55 AM,Saturday,3,V1 TRAV S-N (ASHULIA) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,UNKNOWN LOCATION.                                                               
190004004005042,23.768264,90.41536,41,00,S,5,22,03,19,2200,1,,,,01,02,00,10:00 PM,Friday,4,"V1 HIT V2 REAREND, BOTH TRAV S-N (GULSHAN).                                     ","FLYOVER, HATIRJEEL ROAD.                                                        "
190004004005042,23.768264,90.41536,41,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002001801642,23.7814193,90.425673,42,01,F,5,08,03,19,1430,1,F,4,2,01,02,00,2:30 PM,Friday,4,V1 TRAV S-N (GULSHAN) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,"UTTAR BADDA, PROGATI SARANI ROAD.                                               "
190002004303742,23.7651981,90.383407,43,01,F,7,24,03,19,1915,1,F,4,2,01,02,00,7:15 PM,Sunday,2,V1 TRAV N-S (PALLABI) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,UROZAHAJ CROSSING.                                                              
190005002302242,23.851427,90.4115421,44,01,F,6,16,03,19,0600,1,F,4,2,01,02,00,6:00 AM,Saturday,3,V1 TRAV S-N (ASHULIA) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,UNKNOWN LOCATION.                                                               
190005002104442,23.890562,90.3887343,45,01,F,5,15,03,19,1030,1,F,4,2,01,02,00,10:30 AM,Friday,4,V1 TRAV S-N (TUNGI) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,KAMARPARA CROSSING ROAD.                                                        
190001000800242,23.7350476,90.4172987,46,01,F,7,06,01,19,0210,1,F,4,1,01,02,00,2:10 AM,Sunday,,V1 TRAV W-E (PALTON) OVERRUN PEDESTRIAN CROSSING ROAD.                          ,FAKIRAPUL BUSS STAND.                                                           
190001000104042,23.7209426,90.410314,47,01,G,3,06,03,19,0430,1,G,4,2,01,02,00,4:30 AM,Wednesday,,V1 TRAV S-N (SADARGAT) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,ALU BAZAR CROSSING.                                                             
190002001704042,23.7143088,90.4087076,48,01,G,1,11,03,19,0330,1,G,4,2,01,02,00,3:30 AM,Monday,,V1 TRAV E-W (SADARGAT) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,"TATI BAZAR, SADARGATE ROAD.                                                     "
190002000800242,23.7351554,90.4168708,49,01,F,7,06,01,19,0210,1,F,2,1,01,02,00,2:10 AM,Sunday,,V1 TRAV E-W (RAMNA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,FAKIRAPUR BUSS STAND.                                                           
190003002602142,23.6936936,90.4345217,50,01,F,4,14,03,19,1930,1,F,4,2,01,02,00,7:30 PM,Thursday,,V1 TRAV E-W (DEMRA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,UNKNOWN LOCATION.                                                               
190001003100342,23.7362692,90.4285737,51,00,S,2,12,03,19,0600,1,,,,01,02,00,6:00 AM,Tuesday,,"V1 TRAV E-W (DEMRA) HIT V2 REAREND, V2 TRAV WAS HOLTED ROAD SIDE PARKED.        ",ATISH DIPONKAR ROAD.                                                            
190001003100342,23.7362692,90.4285737,51,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002004802842,23.7301972,90.4102269,52,00,F,5,29,03,19,1100,1,,,,01,02,00,11:00 AM,Friday,,V1 TRAV E-W (MOTIJEEL) GET ON PESSENGER.                                        ,UNKNOWN LOCATION.                                                               
190002004802842,23.7301972,90.4102269,52,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190003003202842,23.7301553,90.415053,53,01,F,3,20,03,19,2115,1,F,4,2,01,02,00,9:15 PM,Wednesday,,V1 TRAV E-W (MOTIJEEL) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,DOYINIK BANGLA CROSSING ROAD.                                                   
190002002804242,23.7938347,90.4053467,54,01,F,5,22,03,19,0930,1,F,4,2,01,02,00,9:30 AM,Friday,,V1 TRAV N-S (KAMARPARA) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,"OPOSIT FR TOWER, DHAKA-MYMENSHING ROAD.                                         "
190003000504242,23.7969471,90.4015016,55,00,G,5,08,02,19,0057,1,,,,01,02,00,12:57 AM,Friday,,"V1 HIT V2 SIDE SWIPEE, S-N (TUNGI).                                             ",UNKNOWN LOCATION.                                                               
190003000504242,23.7969471,90.4015016,55,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190004002704242,23.7784694,90.3980923,56,00,S,5,22,03,19,0730,1,,,,01,02,00,7:30 AM,Friday,,"V1 HIT V2 SIDE SWEEP, BOTH TRAV S-N (ASHULIA).                                  ","MOHAKHALI CROSSING, DHAKA-MYMENSHING ROAD.                                      "
190004002704242,23.7784694,90.3980923,56,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190005003604242,23.794034,90.4044003,57,01,G,6,30,03,19,1130,1,G,4,2,01,02,00,11:30 AM,Saturday,,V1 TRAV N-S (MOHAKHALI) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,"OPOSIT SIDE FR TOWER, DHAKA-MYMENSGHING RIAD.                                   "
190003000601642,23.8047647,90.4220024,58,01,F,2,05,02,19,0330,1,F,4,2,01,02,00,3:30 AM,Tuesday,,V1 TRAV S-N (GULSHAL) OVERRUN PEDESTRIAN CROSSING ROAD.                         ,"IN FRONT OF JAPAN BD LIMI., PROGATI SARANI ROAD.                                "
190002002303642,23.7589986,90.4180273,59,01,F,3,13,03,19,   ?,1,F,4,2,01,02,00,#VALUE!,Wednesday,,"V1 HIT V2 SIDE SWIPEE, BOTH TRAV S-N (BADDA).                                   ",UNKNOWN LOCATION.                                                               
190002002303642,23.7589986,90.4180273,59,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190003003303642,23.7675609,90.4228827,60,00,S,5,22,03,19,1900,1,,,,01,02,00,7:00 PM,Friday,,"V1 HIT V2 SIDE SWIPEE, BOTH TRAV S-N (BADDA).                                   ",UNKNOWN LOCATION.                                                               
190003003303642,23.7675609,90.4228827,60,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190001000500942,23.7667634,90.388798,61,00,F,6,02,03,19,2230,1,,,,01,02,00,10:30 PM,Saturday,,"V1 HIT V2 REARENND, BOTH TRAV S-N (MIRPUR-10).                                  ","IN FRONT OF PRIME MINISTER, OLD AIR PORT ROAD.                                  "
190001000500942,23.7667634,90.388798,61,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002004200942,23.7529708,90.3921706,62,01,F,3,27,03,19,2100,1,F,4,2,01,02,00,9:00 PM,Wednesday,,V1 TRAV S-N (UTTARA) OVERRUN PEDESTRIAN CROSSING ROAD.                          ,"IN FRONT OF ATN NEWS, KAZI NAZRUL ISLAM AVINUE.                                 "
190003001501242,23.804575,90.4221016,63,01,F,1,11,03,19,0130,1,F,4,2,01,02,00,1:30 AM,Monday,,V1 TRAV S-N (NARDA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,"COCACOLA MOR, PROGATI SARANI ROAD.                                              "
190004003001242,23.80944,90.4212918,64,01,F,2,19,03,19,0720,1,F,4,2,01,02,00,7:20 AM,Tuesday,,V1 TRAV S-N (NORDA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,NORDA ICON TOWER.                                                               
190002003800642,23.7163459,90.4915595,65,01,F,6,23,03,19,1230,1,F,4,2,01,02,00,12:30 PM,Saturday,,V1 TRAV W-E (JATRABARI) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,UNKNOWN LOCATION.                                                               
190001000604642,23.8117464,90.3567091,66,02,F,6,09,03,19,0630,1,F,4,2,01,02,00,6:30 AM,Saturday,,V1 TRAV S-N (MIRPUR-10) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,"IN FRONT OF BUBT, BERIBAD ROAD.                                                 "
190001000604642,23.8117464,90.3567091,66,,,,,,,,,G,4,2,,,,#VALUE!,#VALUE!,,,
190001004103242,#N/A,#N/A,67,01,G,1,25,03,19,1200,1,G,4,1,01,02,00,12:00 PM,Monday,,V1 TRAV S-N (MIRPUR-10) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,UNKNOWN LOCATION.                                                               
190001014401042,23.7729244,90.3670758,68,00,F,5,29,03,19,0130,1,,,,01,02,00,1:30 AM,Friday,,"V1 HIT V2 SIDE SIWPEE, BOTH TRAV W-E (MIRPUR).                                  ","OPOSIT SHISHU MELA, KHILJI ROAD.                                                "
190001014401042,23.7729244,90.3670758,68,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190001014401042,23.7729244,90.3670758,68,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190002004701042,23.7472065,90.3589533,69,00,F,1,11,03,19,1530,1,,,,01,02,00,3:30 PM,Monday,,"V1 HIT V2 RIGHT ANGLED, BOTH TRAV S-N (GABTOLI).                                ",RAYER BAZAR ROAD.                                                               
190002004701042,23.7472065,90.3589533,69,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
190005000505042,23.7631435,90.4203905,70,01,G,3,03,04,19,1330,1,G,5,1,01,02,00,1:30 PM,Wednesday,,V1 TRAV S-N (BADDA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,DIT ROAD.                                                                       
190003009203342,#N/A,#N/A,71,01,G,7,21,04,19,0800,1,G,2,1,01,02,00,8:00 AM,Sunday,,V1 TRAV W-E (DEMRA) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,UNKNOWN LOCATION.                                                               
